Simplified,Chapter,Pinyin,Category,Meaning
上,21,shàng1,N,upper; up
上边,21,shàng1 bian1,N,above; over; upward
下,21,xià1,N,down; under
下边,21,xià1 bian1,N,below; underneath
不同,21,bù1 tóng1,A,different
东,21,dōng1,N,east
东边,21,dōng1 bian1,N,east side
以后,21,yǐ1 hòu1,Adv,after; afterwards
修建,21,xiū1 jiàn1,V,build; construct
出差,21,chū1 chāi1,V,go on a business trip
前,21,qián1,N,front; ahead; forward
前边,21,qián1 bian1,N,front; ahead
北,21,běi1,N,north
北边,21,běi1 bian1,N,north side
区,21,qū1,N,district; section; area
南边,21,nán1 bian1,N,south side
卧,21,wò1,V,lie on one's back
卫生,21,wèi1 shēng1,N,hygiene; health
卫生间,21,wèi1 shēng1 jiān1,N,washroom; bathroom
去年,21,qù1 nián1,N,last year
右,21,yòu1,N,right
右边,21,yòu1 bian1,N,right side
同学,21,tóng1 xué1,N,classmate; schoolmate
后边,21,hòu1 bian1,N,back side; behind
咖啡馆,21,kā1 fēi1 guǎn1,N,café
园林,21,yuán1 lín1,N,garden; park
国家,21,guó1 jiā1,N,country
场,21,chǎng1,M,"match; set; (measure word for sports, films, performances)"
外边,21,wài1 bian1,N,outside
大学生,21,dà1 xué1 shēng1,N,university student; college student
天堂,21,tiān1 táng1,N,heaven; paradise
学校,21,xué1 xiào1,N,school
山,21,shān1,N,hill; mountain
山水,21,shān1 shuǐ1,N,landscape
左,21,zuǒ1,N,left
左边,21,zuǒ1 bian1,N,left side
平方,21,píng1 fāng1,A,square
平方米,21,píng1 fāng1 mǐ1,M,square meter
建筑师,21,jiàn1 zhù1 shī1,N,architect
拐,21,guǎi1,V,turn
提,21,tí1,V,lift
提高,21,tí1 gāo1,V,improve; increase
教练,21,jiào1 liàn1,N,coach
杭州,21,háng1 zhōu1,PN,Hangzhou
比赛,21,bǐ1 sài1,N,match/compete; have a match
水平,21,shuǐ1 píng1,N,level
电影院,21,diàn1 yǐng1 yuàn1,N,movie theater; cinema
离,21,lí1,Prep,away; off; from
米,21,mǐ1,M,meter
花园,21,huā1 yuán1,N,garden
花园小区,21,huā1 yuán1 xiǎo1 qū1,N,garden district
苏州,21,sū1 zhōu1,PN,Suzhou
苏杭,21,sū1 háng1,PN,Suzhou and Hangzhou
设计,21,shè1 jì1,V,design
诗人,21,shī1 rén1,N,poet
赛,21,sài1,N,race; match/compete; race
赢,21,yíng1,V,win
足球,21,zú1 qiú1,N,soccer
足球场,21,zú1 qiú1 chǎng1,N,soccer field
踢,21,tī1,V,kick
车站,21,chē1 zhàn1,N,bus stop
输,21,shū1,V,lose
队,21,duì1,N,team
队员,21,duì1 yuán1,N,team member
阳台,21,yáng1 tái1,N,balcony
上演,22,shàng1 yǎn1,V,stage a show; perform
不怎么样,22,bù1 zěn1 me1 yàng1,IE,not so good
主角,22,zhǔ1 jué1,N,leading actor or actress
从来,22,cóng1 lái1,Adv,all along; always
以前,22,yǐ1 qián1,N,before; ago; previously; formerly
优美,22,yōu1 měi1,A,graceful; fine; exquisite; elegant
但是,22,dàn1 shì1,Conj,but; whereas; yet
便饭,22,biàn1 fàn1,N,simple meal
剧,22,jù1,N,opera; dramatic work; play
剧团,22,jù1 tuán1,N,opera troupe; theatrical group
古典,22,gǔ1 diǎn1,A,classical
哭,22,kū1,V,cry; weep
回忆,22,huí1 yì1,V,reminisce; recollect; recall
地方,22,dì1 fang1,N,place; region
地方戏,22,dì1 fāng1 xì1,N,regional opera
太太,22,tài1 tài1,N,wife; Mrs.
小说,22,xiǎo1 shuō1,N,novel; fiction
座位,22,zuò1 wèi1,N,seat
悲伤,22,bēi1 shāng1,A,sad; sorrow
感人,22,gǎn1 rén1,A,touching; moving
戏,22,xì1,N,drama; play; show
戏院,22,xì1 yuàn1,N,theater
排,22,pái1,N,line; row
故事,22,gù1 shi1,N,story; tale
有的,22,yǒu1 de1,Pr,some
林黛玉,22,lín1 dài1 yù1,PN,(name of the lead female character in Dream of the Red Chamber)
梦,22,mèng1,N,dream
死,22,sǐ1,V,die
演,22,yǎn1,V,act; perform; play
演员,22,yǎn1 yuán1,N,actor; actress; performer
爱情,22,ài1 qíng1,N,love
特别,22,tè1 bié1,Adv,extraordinary; especially; particularly
相爱,22,xiāng1 ài1,V,fall in love
研究,22,yán1 jiū1,V,study; discuss; consider
离开,22,lí1 kāi1,V,leave; depart from
种,22,zhǒng1,M,kind; sort; type
种类,22,zhǒng1 lèi1,N,kind; sort; type; variety
红楼梦,22,hóng1 lóu1 méng1,PN,Dream of the Red Chamber
结婚,22,jié1 hūn1,VO,get married
聪明,22,cōng1 ming1,A,clever; bright
虽然,22,suī1 rán1,Conj,although; though
西边,22,xī1 bian1,N,west side
见,22,jiàn1,V,see; meet with
角色,22,jué1 sè1,N,character; role
访问,22,fǎng1 wèn1,V,visit; call on
诗,22,shī1,N,poem; poetry
贾宝玉,22,jiǎ1 bǎo1 yù1,PN,(name of the lead male character in Dream of the Red Chamber)
越剧,22,yuè1 jù1,N,Shaoxing opera
过,22,guo1,AsPt,(indicating a past experience)
这么,22,zhè1 me1,Pr,so; such; like this
部,22,bù1,M,"(measure word for films, works of literature)"
长安大戏院,22,cháng1 ān1 dà1 xì1 yuàn1,PN,Chang'an Theater
难,22,nán1,A,difficult; hard
顿,22,dùn1,M,(measure word for meals)
风格,22,fēng1 gé1,N,style; manner
骗,22,piàn1,V,cheat; trick
下雪,23,xià1 xuě1,VO,to snow
中国民航,23,zhōng1 guó1 mín1 háng1,PN,Civil Aviation Administration of China
价,23,jià1,N,vacation; holiday
停车场,23,tíng1 chē1 chǎng1,N,parking lot
冬天,23,dōng1 tiān1,N,winter
加,23,jiā1,V,increase; add
加油,23,jiā1 yóu1,VO,make an extra effort; cheer someone on
动,23,dòng1,V,move
北方,23,běi1 fāng1,N,north
危险,23,wēi1 xiǎn1,A,dangerous
夏天,23,xià1 tiān1,N,summer
天气预报,23,tiān1 qì1 yùbào1,N,weather forecast
孔子,23,kǒng1 zǐ1,PN,Confucius
害怕,23,hài1 pà1,V,be afraid
导,23,dǎo1,V,to guide; to lead
导游,23,dǎo1 yóu1,N,tour guide
小燕子,23,xiǎo1 yàn1 zi1,PN,(name of a Chinese tour guide)
帮,23,bāng1,V,to help; assist
帮忙,23,bāng1 máng1,VO,to help
广州,23,guǎng1 zhōu1,PN,Guangzhou
度,23,dù1,M,degree (for temperature)
建议,23,jiàn1 yì1,V,make suggestions/suggestion; advice
打算,23,dǎ1 suan1,N,plan/to plan; to intend to
拍,23,pāi1,V,pat; beat; take (a picture)
提,23,tí1,V,put forward; raise
放假,23,fàng1 jià1,VO,have a holiday or vacation
教书,23,jiāo1 shū1,VO,teach
春天,23,chūn1 tiān1,N,spring (season)
景,23,jǐng1,N,view; scene
景色,23,jǐng1 sè1,N,scene; scenery; landscape
晴天,23,qíng1 tiān1,N,sunny sky
机,23,jī1,N,machine
条,23,tiáo1,M,"strip; long narrow piece; (measure word for rivers, dragons, pants, fish)"
树,23,shù1,N,tree
棵,23,kē1,M,"(measure word for trees, plants)"
气温,23,qì1 wēn1,N,air temperature
泰山,23,tài1 shān1,PN,Taishan Mountain; Mount Tai
海南岛,23,hǎi1 nán1 dǎo1,PN,Hainan Island
渴,23,kě1,A,thirsty
游,23,yóu1,V,travel
熊,23,xióng1,N,bear
爬,23,pá1,V,climb
秋天,23,qiū1 tiān1,N,autumn; fall
站,23,zhàn1,V,stand
累,23,lèi1,A,tired
色,23,sè1,N,scene
菜单,23,cài1 dān1,N,menu
行,23,xíng1,V,to be O.K.
装,23,zhuāng1,V,pretend to be something or someone
起飞,23,qǐ1 fēi1,V,take off (flying)
长城,23,cháng1 chéng1,PN,the Great Wall
阴天,23,yīn1 tiān1,N,cloudy sky; overcast sky
雪,23,xuě1,N,snow
零下,23,líng1 xià1,N,below zero
顶,23,dǐng1,N,peak; tip; top
飞,23,fēi1,V,fly
飞机,23,fēi1 jī1,N,airplane
龙,23,lóng1,N,dragon
一路平安,24,yí1 lù1 píng1 ān1,IE,have a pleasant journey; bon voyage
上,24,shàng1,V,"be engaged in (work, study) at a fixed time"
下雨,24,xià1 yǔ1,VO,to rain
不但,24,bú1 dàn1,Conj,not only
低,24,dī1,A,low
入,24,rù1,V,to enter
农民,24,nóng1 mín1,N,farmer; peasant
冻,24,dòng1,V,freeze
凉快,24,liáng1 kuai1,A,cool (temperature)
前年,24,qián1 nián1,N,the year before last; two years ago
发抖,24,fā1 dǒu1,V,shake; tremble; shiver
变化,24,biàn1 huà1,N,change
可不,24,kě1 bù1,IE,exactly; right; that's just the way it is
向,24,xiàng1,Prep,towards; to
在,24,zài1,Adv,(used to indicate an action in progress)
地图,24,dì1 tú1,N,map
城,24,chéng1,N,city; wall
士兵,24,shì1 bīng1,N,soldier
声,24,shēng1,N,sound; voice
大学,24,dà1 xué1,N,university; college
将军,24,jiāng1 jūn1,N,general
小孩儿,24,xiǎo1 hái(r)1,N,kid; child
年级,24,nián1 jí1,N,grade (in school)
座,24,zuò1,M,"(measure word for mountains, buildings and other immovable objects)"
当,24,dāng1,V,serve as; act as; to be (occupation)
技术,24,jì1 shù1,N,technology; skill
接,24,jiē1,V,pick up (someone)
收,24,shōu1,V,accept; receive
收入,24,shōu1 rù1,N,income; earnings
文化,24,wén1 huà1,N,culture; education; literacy
暖和,24,nuǎn1 huo1,A,warm
机场,24,jī1 chǎng1,N,airport
村,24,cūn1,N,village
正在,24,zhèng1 zài1,Adv,in the process of; in the middle of; (key word of a progressive construction)
正常,24,zhèng1 cháng1,A,normal; regular
温,24,wēn1,A,warm
温室,24,wēn1 shì1,N,greenhouse
爱人,24,ài1 ren1,N,husband; wife; spouse; lover
生火,24,shēng1 huǒ1,VO,make a fire
盖,24,gài1,V,build
种,24,zhòng1,V,grow; to plant
站岗,24,zhàn1 gǎng1,VO,stand guard
管理,24,guǎn1 lǐ1,V,manage; administer
箱子,24,xiāng1 zi1,N,box; case; trunk
而且,24,ér1 qiě1,Conj,but also; and also
舅妈,24,jiù1 mā1,N,aunt (wife of mother's brother)
舅舅,24,jiù1 jiu1,N,uncle (mother's brother)
菜,24,cài1,N,food; dish; vegetable
蔬菜,24,shū1 cài1,N,vegetable
行李,24,xíng1 li1,N,baggage; luggage
路,24,lù1,N,road; way
辛苦,24,xīn1 kǔ1,A,work hard; laborious
问路,24,wèn1 lù1,VO,ask directions to get somewhere
雨,24,yǔ1,N,rain
丢,25,diū1,V,lose
以为,25,yǐ1 wéi1,V,to think or believe (and be wrong)
伤,25,shāng1,V,hurt; wound
倒霉,25,dǎo1 méi1,A,bad luck
停,25,tíng1,V,stop; park
偷,25,tōu1,V,steal
关,25,guān1,V,close; turn off
刀,25,dāo1,N,knife
医药费,25,yī1 yào1 fèi1,N,medical expenses
吓,25,xià1,V,scare; frighten
地上,25,dì1 shang1,N,ground; floor
坏,25,huài1,A,bad; broken
型号,25,xíng1 hào1,N,model; type
如果,25,rú1 guǒ1,Conj,if
完,25,wán1,V,finish; run out of
小偷,25,xiǎo1 tōu1,N,thief
弯,25,wān1,V,bend
手,25,shǒu1,N,hand
手机,25,shǒu1 jī1,N,cellular phone
抓,25,zhuā1,V,clutch; catch; arrest
挂失,25,guà1 shī1,VO,report the loss of something
掉,25,diào1,V,drop; fall
撞,25,zhuàng1,V,knock; collide
放,25,fàng1,V,put; place
束,25,shù1,M,bunch (of flowers)
桌子,25,zhuō1 zi1,N,table; desk
检查,25,jiǎn1 chá1,V,examine
注意,25,zhù1 yì1,V,pay attention to
派出所,25,pài1 chū1 suǒ1,N,police substation
消息,25,xiāo1 xi1,N,news
电视,25,diàn1 shì1,N,television
着,25,zhe1,Pt,(indicating the continuous aspect)
突然,25,tū1 rán1,A,sudden; suddenly
笑,25,xiào1,V,laugh; smile
第,25,dì1,Pref,(indicates ordinal numbers)
结果,25,jié1 guǒ1,N,result; outcome
胳膊,25,gē1 bo1,N,arm
腿,25,tuǐ1,N,leg
补,25,bǔ1,V,mend
被,25,bèi1,Prep,by (indicates passive voice)
视,25,shì1,V,look at
警察,25,jǐng1 chá1,N,policeman
警车,25,jǐng1 chē1,N,police car; police van
躺,25,tǎng1,V,lie down
送,25,sòng1,V,take someone somewhere; see someone off
重,25,zhòng1,A,serious; heavy
项链,25,xiàng1 liàn1,N,necklace
马上,25,mǎ1 shàng1,Adv,right away; immediately
丈夫,26,zhàng1 fu1,N,husband
不见不散,26,bú1 jiàn1 bú1 sàn1,IE,don't leave unless we meet
中国化,26,zhōng1 guó1 huà1,V,make Chinese in quality or characteristics; sinicize
中国通,26,zhōng1 guó1 tōng1,N,expert of China
中餐,26,zhōng1 cān1,N,Chinese food (meal)
举办,26,jǔ1 bàn1,V,conduct; hold
了解,26,liǎo1 jiě1,V,understand; realize
兴趣,26,xìng1 qù1,N,interest
努力,26,nǔ1 lì1,A,make great effort; endeavor; exert oneself
化,26,huà1,V,change; turn
南,26,nán1,N,south
