Simplified,Chapter,Pinyin,Category,Meaning
博物馆,26,bó1 wù1 guǎn1,N,museum
句,26,jù1,M,sentence
图片,26,tú1 piàn1,N,picture; photograph
声调,26,shēng1 diào1,N,tone
妻子,26,qī1 zi1,N,wife
实在,26,shí1 zài1,A,honest/truly; really
客人,26,kè1 rén1,N,guest
对,26,duì1,Prep,to
小伙子,26,xiǎo1 huǒ1 zi1,N,young man
展览,26,zhǎn1 lǎn1,N,exhibition; show
情况,26,qíng1 kuàng1,N,situation
意思,26,yì1 si1,N,meaning
感,26,gǎn1,V,feel; sense
感兴趣,26,gǎn1 xìng1 qù1,IE,be interested in something
成,26,chéng1,V,become
才,26,cái1,Adv,just
散,26,sàn1,V,break up; disperse
方法,26,fāng1 fǎ1,N,method
明年,26,míng1 nián1,N,next year
毕业,26,bì1 yè1,VO,finish school; graduate
热情,26,rè1 qíng1,A,warm; warmhearted; enthusiastic
熟悉,26,shúxī1,V,be familiar with
特点,26,tè1 diǎn1,N,characteristic; feature
经验,26,jīng1 yàn1,N,experience
结业,26,jié1 yè1,VO,complete a course
老外,26,lǎo1 wài1,N,foreigner
聊,26,liáo1,V,chat
艺术,26,yì1 shù1,N,art
见面,26,jiàn1 miàn1,VO,meet; see
认真,26,rèn1 zhēn1,A,earnest; serious
记得,26,jì1 de1,V,remember; retain
请客,26,qǐng1 kè1,VO,feast; treat someone to a meal
越来越,26,yuè1 lái1 yuè1,IE,more and more
进步,26,jìn1 bù1,N,progress; advancement/make progress
那样,26,nà1 yàng1,Pr,such; so; like that
陪,26,péi1,V,to accompany
饿,26,è1,A,hungry
