Simplified,Chapter,Pinyin,Category,Meaning
一点,11,yì1 diǎn1,Nu-M,a little bit
一点儿,11,yì1 diǎnr1,Nu-M,a little bit
上,11,shàng1,V,ascend; go to; go up; get on
上课,11,shàng1 kè1,VO,go to class (students and teachers)
下课,11,xià1 kè1,VO,get out of class; finish class
东西,11,dōng1 xi1,N,things; objects
为,11,wèi1,Prep,for
为什么,11,wèishénme1,QPr,why
会,11,huì1,OpV,"know how to, can"
写,11,xiě1,V,write
分,11,fēn1,M,minute
到,11,dào1,V,arrive
刻,11,kè1,M,quarter (of an hour)
半,11,bàn1,Num,half
司机,11,sī1 jī1,N,driver
吸烟,11,xī1 yān1,VO,"smoke (cigarettes, etc.)"
哪里,11,nǎ1 li1,IE,no (expresses modest denial)
唱歌,11,chàng1 gē1,VO,sing (a song)
回,11,huí1,V,return
回答,11,huí1 dá1,V,answer
女儿,11,nǚ1 ér1,N,daughter
字,11,zì1,N,character
孙女儿,11,sūn1 nür1,N,granddaughter (son's daughter)
岁数,11,suì1 shu1,N,years (of age)
差,11,chà1,V,"lack, be short of"
床,11,chuáng1,N,bed
应该,11,yīng1 gāi1,OpV,should; ought to
打的,11,dǎ1 dī1,VO,take a taxi
拜拜,11,bái1 bái1,IE,bye-bye (transliteration)
晚,11,wǎn1,A,late
晚上,11,wǎn1 shang1,N,"evening, night"
汉字,11,hàn1 zì1,N,Chinese character
点钟,11,diǎn1 zhōng1,M,o'clock
点,11,diǎn1,M,o'clock
点儿,11,(yì)diǎnr1,Nu-M,a little bit
玩儿,11,wánr1,V,"have fun, play"
睡,11,shuì1,V,sleep
睡觉,11,shuì1 jiào1,VO,sleep
礼物,11,lǐ1 wù1,N,gift; present
能,11,néng1,OpV,can; be able to
英语,11,yīng1 yǔ1,N,English (language)
表,11,biǎo1,N,wrist watch
该,11,gāi1,OpV,should; ought to
起,11,qǐ1,V,"get up, rise"
起床,11,qǐ1 chuáng1,VO,get up
跳舞,11,tiào1 wǔ1,VO,dance
还,11,hái1,Adv,still
问题,11,wèn1 tí1,N,question
一起,12,yì1 qǐ1,Adv,together
中药,12,zhōng1 yào1,N,traditional Chinese medicine
休息,12,xiū1 xi1,V,take a rest
住院,12,zhù1 yuàn1,VO,be in hospital; be hospitalized
全,12,quán1,A,whole
全身,12,quán1 shēn1,N,all over the body
冷,12,lěng1,A,cold
化验,12,huà1 yàn1,V,have a medical test
医院,12,yī1 yuàn1,N,hospital
发炎,12,fā1 yán1,VO,become inflamed
发烧,12,fā1 shāo1,VO,have a fever
吧,12,ba1,MdPt,modal particle
嗓子,12,sǎng1 zi1,N,throat
大便,12,dà1 biàn1,N,stool
头,12,tóu1,N,head
小便,12,xiǎo1 biàn1,N,urine
开刀,12,kāi1 dāo1,VO,have an operation
想,12,xiǎng1,V,think/want to...
感冒,12,gǎn1 mào1,V,have a cold/common cold
愿意,12,yuàn1 yì1,OpV,be willing to ...
打针,12,dǎ1 zhēn1,VO,have an injection
挂号,12,guà1 hào1,VO,"register (at a hospital, etc.)"
有点儿,12,yǒu1 diǎnr1,Adv,somewhat; rather; a bit
每,12,měi1,Pr,every; each
水,12,shuǐ1,N,water
烧,12,shāo1,V,burn
牙,12,yá1,N,tooth
生活,12,shēng1 huó1,N,life
疼,12,téng1,A,painful
病,12,bìng1,N,illness/get sick
看病,12,kàn1 bìng1,VO,see a doctor
穿,12,chuān1,V,wear
给,12,gěi1,Prep,to; for
肚子,12,dù1 zi1,N,abdomen; stomach
舒服,12,shū1 fu1,A,comfortable
英文,12,yīng1 wén1,N,English (language)
药,12,yào1,N,medicine
血,12,xiě1,N,blood
衣服,12,yī1 fu1,N,clothes
西药,12,xī1 yào1,N,Western medicine
要,12,yào1,OpV,must; surely
身,12,shēn1,N,body
身体,12,shēn1 tǐ1,N,"body, health"
还是,12,hái1 shi1,Conj,or
锻炼,12,duàn1 liàn1,V,do physical exercise
书房,13,shū1 fáng1,N,study
事儿,13,shìr1,N,matter; affair; thing
件,13,jiàn1,M,piece
位,13,wèi1,M,(formal) measure word for people
公司,13,gōng1 sī1,N,company
办,13,bàn1,V,do
包括,13,bāo1 kuò1,V,include
卧室,13,wò1 shì1,N,bedroom
厕所,13,cè1 suǒ1,N,toilet
厨房,13,chú1 fáng1,N,kitchen
可是,13,kě1 shì1,Conj,but
可能,13,kě1 néng1,OpV,maybe
吃饭,13,chī1 fàn1,VO,eat (a meal)
听,13,tīng1,V,listen
听说,13,tīng1 shuō1,V,be told
告诉,13,gào1 su1,V,tell
喂,13,wèi1,Int,hello; hey
回信,13,huí1 xìn1,N,reply/reply
姑娘,13,gū1 niang1,N,girl
客厅,13,kè1 tīng1,N,living room
家美,13,jiā1 měi1,PN,name of a house rental agency
巧,13,qiǎo1,A,coincidental
帮助,13,bāng1 zhù1,V,help
影,13,yǐng1,N,shadow
得,13,dé1,V,"have, get"
房子,13,fáng1 zi1,N,house
房租,13,fáng1 zū1,N,rent (for a house or apartment)
打电话,13,dǎ1 diànhuà1,VO,make a phone call
找,13,zhǎo1,V,look for
散步,13,sàn1 bù1,VO,take a walk; walk
新,13,xīn1,A,new
方便,13,fāng1 biàn1,A,convenient
步,13,bù1,N,step
水电费,13,shuǐ1 diàn1 fèi1,N,utility bill or fee
热心,13,rè1 xīn1,A,enthusiastic
电影,13,diàn1 yǐng1,N,movie
电话,13,diàn1 huà1,N,telephone; phone call
租,13,zū1,V,rent
等,13,děng1,V,wait
经理,13,jīng1 lǐ1,N,manager
让,13,ràng1,V,let; allow; make
间,13,jiān1,M,"measure word for rooms, houses"
饭,13,fàn1,N,meal
上海,14,shàng1 hǎi1,PN,Shanghai
不好意思,14,bù1 hǎo1 yì1 si1,IE,feel embarrassed
中午,14,zhōng1 wǔ1,N,noon
中学,14,zhōng1 xué1,N,middle school
乱,14,luàn1,A,in disorder; in a mess
住,14,zhù1,V,live; stay
元旦,14,yuán1 dàn1,N,New Year's Day
刚才,14,gāng1 cái1,Adv,just now
南方,14,nán1 fāng1,N,south
口语,14,kǒu1 yǔ1,N,spoken language
圣诞,14,shèng1 dàn1,PN,Christmas
圣诞老人,14,shèng1 dàn1 lǎo1 rén1,N,Santa Clause
复习,14,fù1 xí1,V,review
复活节,14,fù1 huó1 jié1,N,Easter
外婆,14,wài1 pó1,N,maternal grandmother
寄,14,jì1,V,"post, mail"
对,14,duì1,A,"right, correct"
局,14,jú1,N,office; bureau
念,14,niàn1,V,read
惊喜,14,jīng1 xǐ1,N,pleasant surprise
想,14,xiǎng1,V,miss; remember with longing
感恩节,14,gǎn1 ēn1 jié1,N,Thanksgiving
打工,14,dǎ1 gōng1,V,have a part-time job
打扫,14,dǎ1 sǎo1,V,clean
扫,14,sǎo1,V,sweep
整理,14,zhěng1 lǐ1,V,put in order; arrange; sort out
旅行,14,lǚ1 xíng1,V,travel
日记,14,rì1 jì1,N,diary
春节,14,chūn1 jié1,N,Spring Festival
晴,14,qíng1,A,sunny
楼,14,lóu1,N,building
欧洲,14,ōu1 zhōu1,PN,Europe
洗,14,xǐ1,V,wash
生,14,shēng1,A,new
生词,14,shēng1 cí1,N,new word
留学生,14,liú1 xué1 shēng1,N,student studying abroad; international student
练,14,liàn1,V,practice
练习,14,liàn1 xí1,V,practice/exercise
脏,14,zāng1,A,dirty
节,14,jié1,N,festival
词,14,cí1,N,word
语法,14,yǔ1 fǎ1,N,grammar
课文,14,kè1 wén1,N,text
过,14,guò1,V,spend (time); celebrate (a birthday or holiday)
邮,14,yóu1,V,"post, mail"
邮局,14,yóu1 jú1,N,post office
亚洲学系,15,yà1 zhōu1 xué1 xì1,N,Department of Asian Studies
人员,15,rén1 yuán1,N,personnel; staff
人民,15,rén1 mín1,N,people
人民币,15,rén1 mín1 bì1,N,Renminbi (RMB)
从,15,cóng1,Prep,from
信,15,xìn1,N,letter
信用卡,15,xìn1 yòng1 kǎ1,N,credit card
儿子,15,ér1 zi1,N,son
元,15,yuán1,M,dollar; measure word for Chinese currency 块 kuài
兵,15,bīng1,N,soldier; fighter
兵马俑,15,bīng1 mǎ1 yǒng1,N,(ceremonial clay statues of warriors and horses which are burried with the dead)
刚,15,gāng1,Adv,just; only a short while ago
加元,15,jiā1 yuán1,N,Canadian dollar
千,15,qiān1,Num,thousand
参观,15,cān1 guān1,V,visit (a place)
发展,15,fā1 zhǎn1,V,develop
城市,15,chéng1 shì1,N,city
好久,15,hǎo1 jiǔ1,IE,long time
好久不见,15,hǎo1 jiǔ1 bú1 jiàn1,IE,"""long time no see""; haven't seen someone for a long time"
少,15,shǎo1,A,few; little
就,15,jiù1,Adv,exactly; precisely
工作人员,15,gōng1 zuò1 rényuán1,N,working personnel; staff member
年轻,15,nián1 qīng1,A,young
得,15,de1,StPt,(structural particle)
得,15,děi1,OpV,need; must; have to
快,15,kuài1,A,fast; quick; rapid
懂,15,dǒng1,V,understand
换,15,huàn1,V,exchange; change
排,15,pái1,V,arrange; put in order
排队,15,pái1 duì1,VO,form a line; queue up
数,15,shǔ1,V,count
早,15,zǎo1,A,early
明信片,15,míng1 xìn1 piàn1,N,postcard
普通话,15,pǔ1 tōng1 huà1,N,common speech; Mandarin Chinese
次,15,cì1,M,(measure word for actions)
欧元,15,ōu1 yuán1,N,Euro
汇率,15,huì1 lǜ1,N,exchange rate
流利,15,liú1 lì1,A,fluent
王府井,15,wáng1 fǔ1 jǐng1,PN,(name of a famous commercial district in Beijing)
现金,15,xiàn1 jīn1,N,cash
用,15,yòng1,V,use
美元,15,měi1 yuán1,N,U.S. dollar
英镑,15,yīng1 bàng1,N,pound sterling
西安,15,xī1 ān1,PN,(name of the capital of Shaanxi Province)
话,15,huà1,N,dialect; language
该,15,gāi1,V,to be somone's turn to do something
轻,15,qīng1,A,light; small
银行,15,yín1 háng1,N,bank
队,15,duì1,N,row of people; line
非常,15,fēi1 cháng1,Adv,very; extremely; highly
