Simplified,Chapter,Pinyin,Category,Meaning
篇,20,piān1,M,(measure word for essays and articles)
羊,20,yáng1,N,sheep
肉,20,ròu1,N,meat
脚,20,jiǎo1,N,foot
花儿,20,huār1,N,flower
花,20,huā1,N,flower
蛇,20,shé1,N,snake
西,20,xī1,N,west
西方,20,xī1 fāng1,N,western; the West
足,20,zú1,N,foot
路上,20,lù1 shang1,VO,on the road; on the way
辆,20,liàng1,M,(measure word for vehicles)
过去,20,guò1 qù1,N,in or of the past
郊区,20,jiāo1 qū1,N,suburb; outskirts
锅,20,guō1,N,pot; pan
音乐会,20,yīn1 yuè1 huì1,N,concert
音乐厅,20,yīn1 yuè1 tīng1,N,concert hall
饭馆,20,fàn1 guǎn1,N,restaurant
