Simplified,Chapter,Pinyin,Category,Meaning
兵马俑,15,bīngmǎyǒng,N,(ceremonial clay statues of warriors and horses which are burried with the dead)
再,5,zài,Adv,again
再见,5,zàijiàn,IE,good-bye
写,11,xiě,V,write
农民,24,nóngmín,N,farmer; peasant
冬天,23,dōngtiān,N,winter
冷,12,lěng,A,cold
冻,24,dòng,V,freeze
准备,18,zhǔnbèi,N,preparation/prepare; get ready
凉快,24,liángkuai,A,cool (temperature)
减肥,19,jiǎnféi,VO,reduce; be on a diet
几,8,jǐ,QPr,"how many, how much"
出,9,chū,V,go out; come out
出发,20,chūfā,V,set out; start off
出差,21,chūchāi,V,go on a business trip
出生,9,chūshēng,V,be born
出租,20,chūzū,V,hire; rent
出租车,20,chūzūchē,N,taxi; cab
刀,25,dāo,N,knife
分(钱),10,fēn,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
分,11,fēn,M,minute
刚,15,gāng,Adv,just; only a short while ago
刚才,14,gāngcái,Adv,just now
别,18,bié,Adv,don't
别的,19,biéde,Pr,other
到,11,dào,V,arrive
刻,11,kè,M,quarter (of an hour)
前,21,qián,N,front; ahead; forward
前年,24,qiánnián,N,the year before last; two years ago
前边,21,qiánbian,N,front; ahead
前门,18,qiánmén,PN,Qianmen (place in Beijing)
剧,22,jù,N,opera; dramatic work; play
剧团,22,jùtuán,N,opera troupe; theatrical group
力波,1,lì bō,PN,(name of a Canadian student)
办,13,bàn,V,do
办公,16,bàngōng,VO,handle official business; work (in an office)
办公室,16,bàngōngshì,N,office
加,23,jiā,V,increase; add
加元,15,jiāyuán,N,Canadian dollar
加拿大,4,jiānádà,PN,Canada
加油,23,jiāyóu,VO,make an extra effort; cheer someone on
动,23,dòng,V,move
助教,8,zhùjiào,N,teaching assistant
努力,26,nǔlì,A,make great effort; endeavor; exert oneself
包,18,bāo,V,wrap
包括,13,bāokuò,V,include
包裹,18,bāoguǒ,N,parcel; package
化,26,huà,V,change; turn
化妆,20,huàzhuāng,VO,put on makeup
化学,7,huàxué,N,chemistry
化验,12,huàyàn,V,have a medical test
北,21,běi,N,north
北京,9,běijīng,PN,Beijing
北方,23,běifāng,N,north
北边,21,běibian,N,north side
匹,19,pǐ,M,(measure word for horses)
区,21,qū,N,district; section; area
医生,3,yīshēng,N,doctor; physician
医药费,25,yīyàofèi,N,medical expenses
医院,12,yīyuàn,N,hospital
十,,shí,Num,ten
千,,qiān,Num,thousand
千,15,qiān,Num,thousand
半,11,bàn,Num,half
单,18,dān,N,"sheet, paper"
卖,10,mài,V,sell
南,26,nán,N,south
南方,14,nánfāng,N,south
南边,21,nánbian,N,south side
博物馆,26,bówùguǎn,N,museum
卧,21,wò,V,lie on one's back
卧室,13,wòshì,N,bedroom
卫生,21,wèishēng,N,hygiene; health
卫生间,21,wèishēngjiān,N,washroom; bathroom
危险,23,wēixiǎn,A,dangerous
历史,7,lìshǐ,N,history
厕所,13,cèsuǒ,N,toilet
厨房,13,chúfáng,N,kitchen
去,6,qù,V,to go
去年,21,qùnián,N,last year
参加,9,cānjiā,V,participate; attend
参观,15,cānguān,V,visit (a place)
又,20,yòu,Adv,again
双,17,shuāng,M,pair
