亚洲学系,15,yà4 zhōu1 xué2 xì4,N,Department of Asian Studies
人员,15,rén2 yuán2,N,personnel; staff
人民,15,rén2 mín2,N,people
人民币,15,rén2 mín2 bì4,N,Renminbi (RMB)
从,15,cóng2,Prep,from
信,15,xìn4,N,letter
信用卡,15,xìn4 yòng4 kǎ3,N,credit card
儿子,15,ér2 zi5,N,son
元,15,yuán2,M,dollar; measure word for Chinese currency 块 kuài
兵,15,bīng1,N,soldier; fighter
兵马俑,15,bīng1 mǎ3 yǒng3,N,(ceremonial clay statues of warriors and horses which are burried with the dead)
刚,15,gāng1,Adv,just; only a short while ago
加元,15,jiā1 yuán2,N,Canadian dollar
千,15,qiān1,Num,thousand
参观,15,cān1 guān1,V,visit (a place)
发展,15,fā1 zhǎn3,V,develop
城市,15,chéng2 shì4,N,city
好久,15,hǎo3 jiǔ3,IE,long time
好久不见,15,hǎo3 jiǔ3 bú2 jiàn4,IE,"""long time no see""; haven't seen someone for a long time"
少,15,shǎo3,A,few; little
就,15,jiù4,Adv,exactly; precisely
工作人员,15,gōng1 zuò4 rényuán2,N,working personnel; staff member
年轻,15,nián2 qīng1,A,young
得,15,de5,StPt,(structural particle)
得,15,děi3,OpV,need; must; have to
快,15,kuài4,A,fast; quick; rapid
懂,15,dǒng3,V,understand
换,15,huàn4,V,exchange; change
排,15,pái2,V,arrange; put in order
排队,15,pái2 duì4,VO,form a line; queue up
数,15,shǔ3,V,count
早,15,zǎo3,A,early
明信片,15,míng2 xìn4 piàn4,N,postcard
普通话,15,pǔ3 tōng1 huà4,N,common speech; Mandarin Chinese
次,15,cì4,M,(measure word for actions)
欧元,15,ōu1 yuán2,N,Euro
汇率,15,huì4 lǜ4,N,exchange rate
流利,15,liú2 lì4,A,fluent
王府井,15,wáng2 fǔ3 jǐng3,PN,(name of a famous commercial district in Beijing)
现金,15,xiàn4 jīn1,N,cash
用,15,yòng4,V,use
美元,15,měi3 yuán2,N,U.S. dollar
英镑,15,yīng1 bàng4,N,pound sterling
西安,15,xī1 ān1,PN,(name of the capital of Shaanxi Province)
话,15,huà4,N,dialect; language
该,15,gāi1,V,to be somone's turn to do something
轻,15,qīng1,A,light; small
银行,15,yín2 háng2,N,bank
队,15,duì4,N,row of people; line
非常,15,fēi1 cháng2,Adv,very; extremely; highly
一会儿,16,yí2 huìr4,IE,a little while
下,16,xià4,V,go down; get off
不行,16,bù4 xíng2,V,not be allowed; won't do
不错,16,bú2 cuò4,A,not bad
交,16,jiāo1,V,hand in; hand over; pay
借,16,jiè4,V,borrow; lend
借书证,16,jiè4 shū1 zhèng4,N,library card
先,16,xiān1,Adv,first; before
办公,16,bàn4 gōng1,VO,handle official business; work (in an office)
办公室,16,bàn4 gōng1 shì4,N,office
国籍,16,guó2 jí2,N,nationality
图书,16,tú2 shū1,N,books
图书馆,16,tú2 shū1 guǎn3,N,library
填,16,tián2,V,fill in; write
姓名,16,xìng4 míng2,N,full name
实用,16,shí2 yòng4,A,practical
室,16,shì4,N,room
带,16,dài4,V,bring
年龄,16,nián2 líng2,N,age
广东,16,guǎng3 dōng1,PN,Guangdong Province
开始,16,kāi1 shǐ3,V,start; begin
忘,16,wàng4,V,forget
性别,16,xìng4 bié2,N,sex; gender
