上,21,shàng4,N,upper; up
上边,21,shàng4 bian5,N,above; over; upward
下,21,xià4,N,down; under
下边,21,xià4 bian5,N,below; underneath
不同,21,bù4 tóng2,A,different
东,21,dōng1,N,east
东边,21,dōng1 bian5,N,east side
以后,21,yǐ3 hòu4,Adv,after; afterwards
修建,21,xiū1 jiàn4,V,build; construct
出差,21,chū1 chāi1,V,go on a business trip
前,21,qián2,N,front; ahead; forward
前边,21,qián2 bian5,N,front; ahead
北,21,běi3,N,north
北边,21,běi3 bian5,N,north side
区,21,qū1,N,district; section; area
南边,21,nán2 bian5,N,south side
卧,21,wò4,V,lie on one's back
卫生,21,wèi4 shēng1,N,hygiene; health
卫生间,21,wèi4 shēng1 jiān1,N,washroom; bathroom
去年,21,qù4 nián2,N,last year
右,21,yòu4,N,right
右边,21,yòu4 bian5,N,right side
同学,21,tóng2 xué2,N,classmate; schoolmate
后边,21,hòu4 bian5,N,back side; behind
咖啡馆,21,kā1 fēi1 guǎn3,N,café
园林,21,yuán2 lín2,N,garden; park
国家,21,guó2 jiā1,N,country
场,21,chǎng3,M,"match; set; (measure word for sports, films, performances)"
外边,21,wài4 bian5,N,outside
大学生,21,dà4 xué2 shēng1,N,university student; college student
天堂,21,tiān1 táng2,N,heaven; paradise
学校,21,xué2 xiào4,N,school
山,21,shān1,N,hill; mountain
山水,21,shān1 shuǐ3,N,landscape
左,21,zuǒ3,N,left
左边,21,zuǒ3 bian5,N,left side
平方,21,píng2 fāng1,A,square
平方米,21,píng2 fāng1 mǐ3,M,square meter
建筑师,21,jiàn4 zhù4 shī1,N,architect
拐,21,guǎi3,V,turn
提,21,tí2,V,lift
提高,21,tí2 gāo1,V,improve; increase
教练,21,jiào4 liàn4,N,coach
杭州,21,háng2 zhōu1,PN,Hangzhou
比赛,21,bǐ3 sài4,N,match/compete; have a match
水平,21,shuǐ3 píng2,N,level
电影院,21,diàn4 yǐng3 yuàn4,N,movie theater; cinema
离,21,lí2,Prep,away; off; from
米,21,mǐ3,M,meter
花园,21,huā1 yuán2,N,garden
花园小区,21,huā1 yuán2 xiǎo3 qū1,N,garden district
苏州,21,sū1 zhōu1,PN,Suzhou
苏杭,21,sū1 háng2,PN,Suzhou and Hangzhou
设计,21,shè4 jì4,V,design
诗人,21,shī1 rén2,N,poet
赛,21,sài4,N,race; match/compete; race
赢,21,yíng2,V,win
足球,21,zú2 qiú2,N,soccer
足球场,21,zú2 qiú2 chǎng3,N,soccer field
踢,21,tī1,V,kick
车站,21,chē1 zhàn4,N,bus stop
输,21,shū1,V,lose
队,21,duì4,N,team
队员,21,duì4 yuán2,N,team member
阳台,21,yáng2 tái2,N,balcony
上演,22,shàng4 yǎn3,V,stage a show; perform
不怎么样,22,bù4 zěn3 me5 yàng4,IE,not so good
主角,22,zhǔ3 jué2,N,leading actor or actress
从来,22,cóng2 lái2,Adv,all along; always
以前,22,yǐ3 qián2,N,before; ago; previously; formerly
优美,22,yōu1 měi3,A,graceful; fine; exquisite; elegant
但是,22,dàn4 shì4,Conj,but; whereas; yet
便饭,22,biàn4 fàn4,N,simple meal
剧,22,jù4,N,opera; dramatic work; play
剧团,22,jù4 tuán2,N,opera troupe; theatrical group
古典,22,gǔ3 diǎn3,A,classical
哭,22,kū1,V,cry; weep
回忆,22,huí2 yì4,V,reminisce; recollect; recall
地方,22,dì4 fang5,N,place; region
地方戏,22,dì4 fāng1 xì4,N,regional opera
太太,22,tài4 tài4,N,wife; Mrs.
小说,22,xiǎo3 shuō1,N,novel; fiction
座位,22,zuò4 wèi4,N,seat
悲伤,22,bēi1 shāng1,A,sad; sorrow
感人,22,gǎn3 rén2,A,touching; moving
戏,22,xì4,N,drama; play; show
戏院,22,xì4 yuàn4,N,theater
排,22,pái2,N,line; row
故事,22,gù4 shi5,N,story; tale
有的,22,yǒu3 de5,Pr,some
林黛玉,22,lín2 dài4 yù4,PN,(name of the lead female character in Dream of the Red Chamber)
梦,22,mèng4,N,dream
死,22,sǐ3,V,die
演,22,yǎn3,V,act; perform; play
演员,22,yǎn3 yuán2,N,actor; actress; performer
爱情,22,ài4 qíng2,N,love
特别,22,tè4 bié2,Adv,extraordinary; especially; particularly
相爱,22,xiāng1 ài4,V,fall in love
研究,22,yán2 jiū1,V,study; discuss; consider
离开,22,lí2 kāi1,V,leave; depart from
种,22,zhǒng3,M,kind; sort; type
种类,22,zhǒng3 lèi4,N,kind; sort; type; variety
红楼梦,22,hóng2 lóu2 méng2,PN,Dream of the Red Chamber
结婚,22,jié2 hūn1,VO,get married
聪明,22,cōng1 ming5,A,clever; bright
