Simplified,Chapter,Pinyin,Category,Meaning
英国,4,yīng1 guó1,PN,Great Britain; England
认识,4,rèn1 shi1,V,to know (somebody)
记者,4,jì1 zhě1,N,reporter
语言,4,yǔ1 yán1,N,language
请,4,qǐng1,V,please
请问,4,qǐng1 wèn1,V,May I ask...?
贵姓,4,guì1 xìng1,IE,What's your honorable surname?
进,4,jìn1,V,to enter
进来,4,jìn1 lai1,VC,to come in
高兴,4,gāo1 xìng1,A,happy; pleased
不用,5,bú1 yòng1,Adv,need not
了,5,le1,Pt,(modal partical; aspect particle)
二,5,èr1,Num,two
再,5,zài1,Adv,again
再见,5,zài1 jiàn1,IE,good-bye
号,5,hào1,N,number
哪儿,5,nǎr1,QPr,where
四,5,sì1,Num,four
在,5,zài1,V,"to be (here, there); to be (in, on at)"
坐,5,zuò1,V,to sit
女,5,nǚ1,A,female
学生,5,xué1 sheng1,N,student
宋华,5,sòng1 huá1,PN,(name of a Chinese student)
宿舍,5,sù1 shè1,N,dormitory
对不起,5,duì1 bu1 qǐ1,IE,I'm sorry
小姐,5,xiǎo1 jie1,N,Miss; young lady
层,5,céng1,M,story; floor
没关系,5,méi1 guān1 xi1,IE,never mind; it doesn't matter
王小云,5,wáng1 xiǎo1 yún1,PN,(name of a Chinese student)
知道,5,zhī1 dào1,V,to know
谢谢,5,xiè1 xie1,V,to thank
这儿,5,zhèr1,Pr,here
零,5,líng1,Num,zero
餐厅,5,cān1 tīng1,N,dining room
京剧,6,jīng1 jù1,N,Beijing opera
今天,6,jīn1 tiān1,N,today
你们,6,nǐ1 men1,Pr,you (plural)
去,6,qù1,V,to go
天,6,tiān1,N,day
天气,6,tiān1 qì1,N,weather
太,6,tài1,Adv,too; extremely
恐怕,6,kǒng1 pà1,Adv,to be afraid that; perhaps
打,6,dǎ1,V,to play
打球,6,dǎ1 qiú1,VO,to play ball
抱歉,6,bào1 qiàn1,A,to feel sorry; sorry
时候,6,shí1 hou1,N,time; moment
时间,6,shí1 jiān1,N,time
明天,6,míng1 tiān1,N,tomorrow
昨天,6,zuó1 tiān1,N,yesterday
有,6,yǒu1,V,to have
有意思,6,yǒu1 yìsi1,IE,interesting
游泳,6,yóu1 yǒng1,V,to swim
现在,6,xiàn1 zài1,N,now
球,6,qiú1,N,ball
说,6,shuō1,V,to say; to speak
遍,6,biàn1,M,number of times (of action)
一下,7,yí1 xià1,AsPt,"(used after a verb to indicate a short, quick, random, informal action)"
丁力波,7,dīng1 lì1 bō1,PN,(name of a Canadian student)
专业,7,zhuān1 yè1,N,major; specialty
中文,7,zhōng1 wén1,N,Chinese
介绍,7,jiè1 shào1,V,to introduce
化学,7,huà1 xué1,N,chemistry
历史,7,lì1 shǐ1,N,history
名字,7,míng1 zi1,N,name
名片,7,míng1 piàn1,N,calling card
哲学,7,zhé1 xué1,N,philosophy
啊,7,à1,Int,ah; oh
学,7,xué1,V,to learn; to study
开,7,kāi1,V,to open; to start
开学,7,kāi1 xué1,VO,to start school
张,7,zhāng1,PN,(a surname)
教,7,jiāo1,V,to teach
教授,7,jiào1 shòu1,N,professor
教育,7,jiào1 yù1,N,education
数学,7,shù1 xué1,N,mathematics
文学,7,wén1 xué1,N,literature
物理,7,wù1 lǐ1,N,physics
看,7,kàn1,V,to watch; to look at
系,7,xì1,N,faculty; department
经济,7,jīng1 jì1,N,economy
美,7,měi1,A,beautiful
美术,7,měi1 shù1,N,fine arts
选修,7,xuǎn1 xiū1,V,take an elective course
问,7,wèn1,V,to ask
音乐,7,yīn1 yuè1,N,music
马大为,7,mǎ1 dà1 wéi1,PN,(name of an American student)
高,7,gāo1,A,high; tall
一共,8,yí1 gòng1,Adv,altogether
两,8,liǎng1,Num,two
个,8,gè1,M,general-use measure word
做,8,zuò1,V,do; make
共,8,gòng1,Adv,total
几,8,jǐ1,QPr,"how many, how much"
助教,8,zhù1 jiào1,N,teaching assistant
口,8,kǒu1,M,number of people in a family
可爱,8,kě1 ài1,A,"lovely, cute"
和,8,hé1,Conj,and
喜欢,8,xǐ1 huan1,V,"like, prefer"
外,8,wài1,Prep,outside
外公,8,wài1 gōng1,N,maternal grandfather
外国,8,wài1 guó1,N,foreign country
外语,8,wài1 yǔ1,N,foreign language
多,8,duō1,A,"many, much"
多少,8,duō1 shao1,QPr,"how many, how much"
大,8,dà1,A,"big, large"
妹妹,8,mèi1 mei1,N,younger sister
姐姐,8,jiě1 jie1,N,older sister
家,8,jiā1,N,"family, home"
小,8,xiǎo1,A,"little, small"
工作,8,gōng1 zuò1,V,work/work
工程师,8,gōng1 chéng1 shī1,N,engineer
张,8,zhāng1,M,flat objects
当然,8,dāng1 rán1,A,as it should be; only natural that
律师,8,lǜ1 shī1,N,lawyer
没,8,méi1,Adv,not
照片,8,zhào1 piàn1,N,"picture, photo"
爱,8,ài1,V,love
爷爷,8,yé1 ye1,N,paternal grandfather
狗,8,gǒu1,N,dog
电脑,8,diàn1 nǎo1,N,computer
百,8,bǎi1,Num,hundred
真,8,zhēn1,A,real/really
系主任,8,xì1 zhǔ1 rèn1,N,department chairman
词典,8,cí1 diǎn1,N,dictionary
语,8,yǔ1,N,language
贝贝,8,bèi1 bei1,PN,name of a dog
车,8,chē1,N,car; vehicle
还,8,hái1,Adv,in addition
上,9,shàng1,Prep,above; last
上午,9,shàng1 wǔ1,N,morning
下,9,xià1,Prep,below; next
下午,9,xià1 wǔ1,N,afternoon
买,9,mǎi1,V,buy
今年,9,jīn1 nián1,N,this year
会,9,huì1,N,meeting
出,9,chū1,V,go out; come out
出生,9,chū1 shēng1,V,be born
北京,9,běi1 jīng1,PN,Beijing
参加,9,cān1 jiā1,V,participate; attend
可乐,9,kě1 lè1,N,Coke
号,9,hào1,N,day of the month
吃,9,chī1,V,eat
啤酒,9,pí1 jiǔ1,N,beer
多,9,duō1,Adv,how
多大,9,duō1 dà1,QPr,how old
大,9,dà1,A,old (in reference to a person)
寿面,9,shòu1 miàn1,N,"birthday noodles, longevity noodles"
属,9,shǔ1,V,"be born in the year of ... (dog, rooster, etc.)"
岁,9,suì1,M,years old (of a person)
年,9,nián1,N,year
快乐,9,kuài1 lè1,A,happy
怎么样,9,zěn1 me1 yàng1,QPr,"how is ..., what is ... like"
星期,9,xīng1 qī1,N,week
星期日,9,xīng1 qī1 rì1,N,Sunday
汉堡,9,hàn1 bǎo1,N,hamburger
漂亮,9,piào1 liang1,A,"pretty, beautiful; nice"
日,9,rì1,N,day
烤鸭,9,kǎo1 yā1,N,roast duck
热狗,9,rè1 gǒu1,N,hotdog
牛奶,9,niú1 nǎi1,N,milk
瓶,9,píng1,M,bottle
生,9,shēng1,V,be born
生日,9,shēng1 rì1,N,birthday
祝,9,zhù1,V,wish
祝贺,9,zhù1 hè1,V,congratulate
米饭,9,mǐ1 fàn1,N,cooked rice
糕,9,gāo1,N,cake
红,9,hóng1,A,red
红葡萄酒,9,hóng1 pú1 tao1 jiǔ1,N,red wine
聚会,9,jù1 huì1,N,get-together; party
茶,9,chá1,N,tea
葡萄,9,pú1 tao1,N,grape
蛋,9,dàn1,N,egg
蛋糕,9,dàn1 gāo1,N,cake
西餐,9,xī1 cān1,N,Western food
课,9,kè1,N,"class, lesson"
酒,9,jiǔ1,N,"wine, liquor"
雪碧,9,xuě1 bì1,N,Sprite
面,9,miàn1,N,noodles
面包,9,miàn1 bāo1,N,bread
鸭,9,yā1,N,duck
中,10,zhōng1,A,Center
书,10,shū1,N,book
书店,10,shū1 diàn1,N,bookstore
份,10,fèn1,M,publications like newspapers
体育馆,10,tǐ1 yù1 guǎn1,N,gym
作家,10,zuò1 jiā1,N,writer
便宜,10,pián1 yi1,A,cheap
先生,10,xiān1 sheng1,N,Mr.; sir
光盘,10,guāng1 pán1,N,CD
分(钱),10,fēn1,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
分钱,10,fēn1,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
卖,10,mài1,V,sell
商,10,shāng1,N,trade; commerce; business
商场,10,shāng1 chǎng1,N,market; bazaar; shopping mall
在,10,zài1,Prep,at; in; on
块钱,10,kuài1 qián1,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
块,10,kuài1,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
容易,10,róng1 yì1,A,easy
师傅,10,shī1 fu1,N,master worker
常,10,cháng1,Adv,often
常常,10,cháng1 cháng1,Adv,often
怎么,10,zěn1 me1,QPr,how
找钱,10,zhǎo(qián)1,V,give change
找,10,zhǎo1,V,give change
报,10,bào1,N,newspaper
支,10,zhī1,M,stick-like objects like pens
斤,10,jīn1,M,half kilogram
有名,10,yǒu1 míng1,A,famous
本,10,běn1,M,books and notebooks
本子,10,běn1 zi1,N,notebook
杯,10,bēi1,M,cups of things
梁祝,10,liáng1 zhù1,PN,name of a Chinese violin concerto
毛,10,máo1,M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
毛钱,10,máo(qián)1,M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
笔,10,bǐ1,N,pen
给,10,gěi1,V,give
苹果,10,píng1 guǒ1,N,apple
贵,10,guì1,A,expensive; precious
跟,10,gēn1,Prep,with/follow
送,10,sòng1,V,give as a gift
那儿,10,nàr1,Pr,there
钱,10,qián1,N,money
香蕉,10,xiāng1 jiāo1,N,banana
香蕉苹果,10,xiāng1 jiāo1 píng1 guǒ1,N,a kind of apple that tastes like a banana
