Simplified,Chapter,Pinyin,Category,Meaning
也,1,yě1,Adv,too; also
你,1,nǐ1,Pr,You
力波,1,lì1 bō1,PN,(name of a Canadian student)
吗,1,ma1,QPt,(interrogative particle for question expecting yes-no answer)
呢,1,ne1,MdPt,(a modal particle used for elliptical questions)
好,1,hǎo1,A,good; well; fine; O.K.
很,1,hěn1,Adv,very
我,1,wǒ1,Pr,I; me
林娜,1,lín1 nà1,PN,(name of a British student)
陆雨平,1,lù1 yǔ1 píng1,PN,(name of a Chinese reporter)
丁,2,dīng1,PN,(a surname)
不,2,bù1,Adv,not; no
他,2,tā1,Pr,he; him
他们,2,tā1 men1,Pr,they; them
们,2,men1,Suf,"(used after pronouns 我, 你, 他 or certain nouns to denote plural)"
咖啡,2,kā1 fēi1,N,coffee
哥哥,2,gē1 ge1,N,elder brother
喝,2,hē1,V,to drink
妈妈,2,mā1 ma1,N,mom
弟弟,2,dì1 di1,N,younger brother
忙,2,máng1,A,busy
我们,2,wǒ1 men1,Pr,we; us
朋友,2,péng1 you1,N,friend
爸爸,2,bà1 ba1,N,dad
男,2,nán1,A,male
要,2,yào1,V,to want
都,2,dōu1,Adv,both; all
中国,3,zhōng1 guó1,PN,China
人,3,rén1,N,"people, person"
医生,3,yī1 shēng1,N,doctor; physician
哪,3,nǎ1,QPr,which
国,3,guó1,N,"country, nation"
奶奶,3,nǎi1 nai1,N,grandmother on the father's side
她,3,tā1,Pr,she; her
您,3,nín1,Pr,you  (polite form)
是,3,shì1,V,to be
老师,3,lǎo1 shī1,N,teacher
谁,3,shéi1,QPr,who; whom
这,3,zhè1,Pr,this
那,3,nà1,Pr,that
陈,3,chén1,PN,(a surname)
什么,4,shén1 me1,QPr,what
加拿大,4,jiā1 ná1 dà1,PN,Canada
叫,4,jiào1,V,to be called
可以,4,kě1 yǐ1,OpV,may
姓,4,xìng1,V,one's surname is.../surname
学习,4,xué1 xí1,V,to learn; to study
学院,4,xué1 yuàn1,N,institute; college
来,4,lái1,V,to come
杨,4,yáng1,PN,(a surname)
汉语,4,hàn1 yǔ1,N,Chinese (language)
的,4,de1,Pt,(a possessive or modifying particle)
美国,4,měi1 guó1,PN,the United States; America
