一共,8,yí2 gòng4,Adv,altogether
两,8,liǎng3,Num,two
个,8,gè4,M,general-use measure word
做,8,zuò4,V,do; make
共,8,gòng4,Adv,total
几,8,jǐ3,QPr,"how many, how much"
助教,8,zhù4 jiào4,N,teaching assistant
口,8,kǒu3,M,number of people in a family
可爱,8,kě3 ài4,A,"lovely, cute"
和,8,hé2,Conj,and
喜欢,8,xǐ3 huan5,V,"like, prefer"
外,8,wài4,Prep,outside
外公,8,wài4 gōng1,N,maternal grandfather
外国,8,wài4 guó2,N,foreign country
外语,8,wài4 yǔ3,N,foreign language
多,8,duō1,A,"many, much"
多少,8,duō1 shao5,QPr,"how many, how much"
大,8,dà4,A,"big, large"
妹妹,8,mèi4 mei5,N,younger sister
姐姐,8,jiě3 jie5,N,older sister
家,8,jiā1,N,"family, home"
小,8,xiǎo3,A,"little, small"
工作,8,gōng1 zuò4,V,work/work
工程师,8,gōng1 chéng2 shī1,N,engineer
张,8,zhāng1,M,flat objects
当然,8,dāng1 rán2,A,as it should be; only natural that
律师,8,lǜ4 shī1,N,lawyer
没,8,méi2,Adv,not
照片,8,zhào4 piàn4,N,"picture, photo"
爱,8,ài4,V,love
爷爷,8,yé2 ye5,N,paternal grandfather
狗,8,gǒu3,N,dog
电脑,8,diàn4 nǎo3,N,computer
百,8,bǎi3,Num,hundred
真,8,zhēn1,A,real/really
系主任,8,xì4 zhǔ3 rèn4,N,department chairman
词典,8,cí2 diǎn3,N,dictionary
语,8,yǔ3,N,language
贝贝,8,bèi4 bei5,PN,name of a dog
车,8,chē1,N,car; vehicle
还,8,hái2,Adv,in addition
上,9,shàng4,Prep,above; last
上午,9,shàng4 wǔ3,N,morning
下,9,xià4,Prep,below; next
下午,9,xià4 wǔ3,N,afternoon
买,9,mǎi3,V,buy
今年,9,jīn1 nián2,N,this year
会,9,huì4,N,meeting
出,9,chū1,V,go out; come out
出生,9,chū1 shēng1,V,be born
北京,9,běi3 jīng1,PN,Beijing
参加,9,cān1 jiā1,V,participate; attend
可乐,9,kě3 lè4,N,Coke
号,9,hào4,N,day of the month
吃,9,chī1,V,eat
啤酒,9,pí2 jiǔ3,N,beer
多,9,duō1,Adv,how
多大,9,duō1 dà4,QPr,how old
大,9,dà4,A,old (in reference to a person)
寿面,9,shòu4 miàn4,N,"birthday noodles, longevity noodles"
属,9,shǔ3,V,"be born in the year of ... (dog, rooster, etc.)"
岁,9,suì4,M,years old (of a person)
年,9,nián2,N,year
快乐,9,kuài4 lè4,A,happy
怎么样,9,zěn3 me5 yàng4,QPr,"how is ..., what is ... like"
星期,9,xīng1 qī1,N,week
星期日,9,xīng1 qī1 rì4,N,Sunday
汉堡,9,hàn4 bǎo3,N,hamburger
漂亮,9,piào4 liang5,A,"pretty, beautiful; nice"
日,9,rì4,N,day
烤鸭,9,kǎo3 yā1,N,roast duck
热狗,9,rè4 gǒu3,N,hotdog
牛奶,9,niú2 nǎi3,N,milk
瓶,9,píng2,M,bottle
生,9,shēng1,V,be born
生日,9,shēng1 rì4,N,birthday
祝,9,zhù4,V,wish
祝贺,9,zhù4 hè4,V,congratulate
米饭,9,mǐ3 fàn4,N,cooked rice
糕,9,gāo1,N,cake
红,9,hóng2,A,red
红葡萄酒,9,hóng2 pú2 tao5 jiǔ3,N,red wine
聚会,9,jù4 huì4,N,get-together; party
茶,9,chá2,N,tea
葡萄,9,pú2 tao5,N,grape
蛋,9,dàn4,N,egg
蛋糕,9,dàn4 gāo1,N,cake
西餐,9,xī1 cān1,N,Western food
课,9,kè4,N,"class, lesson"
酒,9,jiǔ3,N,"wine, liquor"
雪碧,9,xuě3 bì4,N,Sprite
面,9,miàn4,N,noodles
面包,9,miàn4 bāo1,N,bread
鸭,9,yā1,N,duck
中,10,zhōng1,A,Center
书,10,shū1,N,book
书店,10,shū1 diàn4,N,bookstore
份,10,fèn4,M,publications like newspapers
体育馆,10,tǐ3 yù4 guǎn3,N,gym
作家,10,zuò4 jiā1,N,writer
便宜,10,pián2 yi5,A,cheap
先生,10,xiān1 sheng5,N,Mr.; sir
光盘,10,guāng1 pán2,N,CD
分(钱),10,fēn1,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
分钱,10,fēn1,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
卖,10,mài4,V,sell
商,10,shāng1,N,trade; commerce; business
商场,10,shāng1 chǎng3,N,market; bazaar; shopping mall
在,10,zài4,Prep,at; in; on
块钱,10,kuài4 qián2,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
块,10,kuài4,M,"dollar; basic Chinese monetary unit, worth 10 毛(máo)"
容易,10,róng2 yì4,A,easy
师傅,10,shī1 fu5,N,master worker
常,10,cháng2,Adv,often
常常,10,cháng2 cháng2,Adv,often
怎么,10,zěn3 me5,QPr,how
找钱,10,zhǎo(qián)2,V,give change
找,10,zhǎo3,V,give change
报,10,bào4,N,newspaper
支,10,zhī1,M,stick-like objects like pens
斤,10,jīn1,M,half kilogram
有名,10,yǒu3 míng2,A,famous
本,10,běn3,M,books and notebooks
本子,10,běn3 zi5,N,notebook
杯,10,bēi1,M,cups of things
梁祝,10,liáng2 zhù4,PN,name of a Chinese violin concerto
毛,10,máo2,M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
毛钱,10,máo(qián)2,M,"dime; Chinese monetary unit, worth one tenth of one 块(kuài)"
笔,10,bǐ3,N,pen
给,10,gěi3,V,give
苹果,10,píng2 guǒ3,N,apple
贵,10,guì4,A,expensive; precious
跟,10,gēn1,Prep,with/follow
送,10,sòng4,V,give as a gift
那儿,10,nàr4,Pr,there
钱,10,qián2,N,money
香蕉,10,xiāng1 jiāo1,N,banana
香蕉苹果,10,xiāng1 jiāo1 píng2 guǒ3,N,a kind of apple that tastes like a banana
一点,11,yì4 diǎn3,Nu-M,a little bit
一点儿,11,yì4 diǎnr3,Nu-M,a little bit
上,11,shàng4,V,ascend; go to; go up; get on
上课,11,shàng4 kè4,VO,go to class (students and teachers)
下课,11,xià4 kè4,VO,get out of class; finish class
东西,11,dōng1 xi5,N,things; objects
为,11,wèi4,Prep,for
为什么,11,wèishénme2,QPr,why
会,11,huì4,OpV,"know how to, can"
写,11,xiě3,V,write
分,11,fēn1,M,minute
到,11,dào4,V,arrive
刻,11,kè4,M,quarter (of an hour)
半,11,bàn4,Num,half
司机,11,sī1 jī1,N,driver
吸烟,11,xī1 yān1,VO,"smoke (cigarettes, etc.)"
哪里,11,nǎ3 li5,IE,no (expresses modest denial)
唱歌,11,chàng4 gē1,VO,sing (a song)
回,11,huí2,V,return
回答,11,huí2 dá2,V,answer
女儿,11,nǚ3 ér2,N,daughter
字,11,zì4,N,character
孙女儿,11,sūn1 nür5,N,granddaughter (son's daughter)
岁数,11,suì4 shu5,N,years (of age)
差,11,chà4,V,"lack, be short of"
床,11,chuáng2,N,bed
应该,11,yīng1 gāi1,OpV,should; ought to
打的,11,dǎ3 dī1,VO,take a taxi
拜拜,11,bái2 bái2,IE,bye-bye (transliteration)
晚,11,wǎn3,A,late
晚上,11,wǎn3 shang5,N,"evening, night"
汉字,11,hàn4 zì4,N,Chinese character
点钟,11,diǎn3 zhōng1,M,o'clock
点,11,diǎn3,M,o'clock
点儿,11,(yì)diǎnr3,Nu-M,a little bit
玩儿,11,wánr2,V,"have fun, play"
睡,11,shuì4,V,sleep
睡觉,11,shuì4 jiào4,VO,sleep
礼物,11,lǐ3 wù4,N,gift; present
能,11,néng2,OpV,can; be able to
英语,11,yīng1 yǔ3,N,English (language)
表,11,biǎo3,N,wrist watch
该,11,gāi1,OpV,should; ought to
起,11,qǐ3,V,"get up, rise"
起床,11,qǐ3 chuáng2,VO,get up
跳舞,11,tiào4 wǔ3,VO,dance
还,11,hái2,Adv,still
问题,11,wèn4 tí2,N,question
一起,12,yì4 qǐ3,Adv,together
中药,12,zhōng1 yào4,N,traditional Chinese medicine
休息,12,xiū1 xi5,V,take a rest
住院,12,zhù4 yuàn4,VO,be in hospital; be hospitalized
全,12,quán2,A,whole
全身,12,quán2 shēn1,N,all over the body
冷,12,lěng3,A,cold
化验,12,huà4 yàn4,V,have a medical test
医院,12,yī1 yuàn4,N,hospital
发炎,12,fā1 yán2,VO,become inflamed
发烧,12,fā1 shāo1,VO,have a fever
吧,12,ba5,MdPt,modal particle
嗓子,12,sǎng3 zi5,N,throat
大便,12,dà4 biàn4,N,stool
头,12,tóu2,N,head
小便,12,xiǎo3 biàn4,N,urine
开刀,12,kāi1 dāo1,VO,have an operation
想,12,xiǎng3,V,think/want to...
感冒,12,gǎn3 mào4,V,have a cold/common cold
愿意,12,yuàn4 yì4,OpV,be willing to ...
打针,12,dǎ3 zhēn1,VO,have an injection
挂号,12,guà4 hào4,VO,"register (at a hospital, etc.)"
有点儿,12,yǒu3 diǎnr3,Adv,somewhat; rather; a bit
每,12,měi3,Pr,every; each
水,12,shuǐ3,N,water
烧,12,shāo1,V,burn
牙,12,yá2,N,tooth
生活,12,shēng1 huó2,N,life
疼,12,téng2,A,painful
病,12,bìng4,N,illness/get sick
看病,12,kàn4 bìng4,VO,see a doctor
穿,12,chuān1,V,wear
给,12,gěi3,Prep,to; for
肚子,12,dù4 zi5,N,abdomen; stomach
舒服,12,shū1 fu5,A,comfortable
英文,12,yīng1 wén2,N,English (language)
药,12,yào4,N,medicine
血,12,xiě3,N,blood
衣服,12,yī1 fu5,N,clothes
西药,12,xī1 yào4,N,Western medicine
要,12,yào4,OpV,must; surely
身,12,shēn1,N,body
身体,12,shēn1 tǐ3,N,"body, health"
还是,12,hái2 shi5,Conj,or
锻炼,12,duàn4 liàn4,V,do physical exercise
书房,13,shū1 fáng2,N,study
事儿,13,shìr4,N,matter; affair; thing
件,13,jiàn4,M,piece
位,13,wèi4,M,(formal) measure word for people
公司,13,gōng1 sī1,N,company
办,13,bàn4,V,do
包括,13,bāo1 kuò4,V,include
卧室,13,wò4 shì4,N,bedroom
厕所,13,cè4 suǒ3,N,toilet
厨房,13,chú2 fáng2,N,kitchen
可是,13,kě3 shì4,Conj,but
可能,13,kě3 néng2,OpV,maybe
吃饭,13,chī1 fàn4,VO,eat (a meal)
听,13,tīng1,V,listen
听说,13,tīng1 shuō1,V,be told
告诉,13,gào4 su5,V,tell
喂,13,wèi4,Int,hello; hey
回信,13,huí2 xìn4,N,reply/reply
姑娘,13,gū1 niang5,N,girl
客厅,13,kè4 tīng1,N,living room
家美,13,jiā1 měi3,PN,name of a house rental agency
巧,13,qiǎo3,A,coincidental
帮助,13,bāng1 zhù4,V,help
影,13,yǐng3,N,shadow
得,13,dé2,V,"have, get"
房子,13,fáng2 zi5,N,house
房租,13,fáng2 zū1,N,rent (for a house or apartment)
打电话,13,dǎ3 diànhuà4,VO,make a phone call
找,13,zhǎo3,V,look for
散步,13,sàn4 bù4,VO,take a walk; walk
新,13,xīn1,A,new
方便,13,fāng1 biàn4,A,convenient
步,13,bù4,N,step
水电费,13,shuǐ3 diàn4 fèi4,N,utility bill or fee
热心,13,rè4 xīn1,A,enthusiastic
电影,13,diàn4 yǐng3,N,movie
电话,13,diàn4 huà4,N,telephone; phone call
租,13,zū1,V,rent
等,13,děng3,V,wait
经理,13,jīng1 lǐ3,N,manager
让,13,ràng4,V,let; allow; make
间,13,jiān1,M,"measure word for rooms, houses"
饭,13,fàn4,N,meal
上海,14,shàng4 hǎi3,PN,Shanghai
不好意思,14,bù4 hǎo3 yì4 si5,IE,feel embarrassed
中午,14,zhōng1 wǔ3,N,noon
中学,14,zhōng1 xué2,N,middle school
乱,14,luàn4,A,in disorder; in a mess
住,14,zhù4,V,live; stay
元旦,14,yuán2 dàn4,N,New Year's Day
刚才,14,gāng1 cái2,Adv,just now
南方,14,nán2 fāng1,N,south
口语,14,kǒu3 yǔ3,N,spoken language
圣诞,14,shèng4 dàn4,PN,Christmas
圣诞老人,14,shèng4 dàn4 lǎo3 rén2,N,Santa Clause
复习,14,fù4 xí2,V,review
复活节,14,fù4 huó2 jié2,N,Easter
外婆,14,wài4 pó2,N,maternal grandmother
寄,14,jì4,V,"post, mail"
对,14,duì4,A,"right, correct"
局,14,jú2,N,office; bureau
念,14,niàn4,V,read
惊喜,14,jīng1 xǐ3,N,pleasant surprise
想,14,xiǎng3,V,miss; remember with longing
感恩节,14,gǎn3 ēn1 jié2,N,Thanksgiving
打工,14,dǎ3 gōng1,V,have a part-time job
打扫,14,dǎ3 sǎo3,V,clean
扫,14,sǎo3,V,sweep
整理,14,zhěng3 lǐ3,V,put in order; arrange; sort out
旅行,14,lǚ3 xíng2,V,travel
日记,14,rì4 jì4,N,diary
春节,14,chūn1 jié2,N,Spring Festival
晴,14,qíng2,A,sunny
楼,14,lóu2,N,building
欧洲,14,ōu1 zhōu1,PN,Europe
洗,14,xǐ3,V,wash
生,14,shēng1,A,new
生词,14,shēng1 cí2,N,new word
留学生,14,liú2 xué2 shēng1,N,student studying abroad; international student
练,14,liàn4,V,practice
练习,14,liàn4 xí2,V,practice/exercise
脏,14,zāng1,A,dirty
节,14,jié2,N,festival
词,14,cí2,N,word
语法,14,yǔ3 fǎ3,N,grammar
课文,14,kè4 wén2,N,text
过,14,guò4,V,spend (time); celebrate (a birthday or holiday)
邮,14,yóu2,V,"post, mail"
邮局,14,yóu2 jú2,N,post office
