Simplified,Chapter,Pinyin,Category,Meaning
兵马俑,15,bīng mǎ yǒng,N,(ceremonial clay statues of warriors and horses which are burried with the dead)
再,5,zài,Adv,again
再见,5,zài jiàn,IE,good-bye
写,11,xiě,V,write
农民,24,nóng mín,N,farmer; peasant
冬天,23,dōng tiān,N,winter
冷,12,lěng,A,cold
冻,24,dòng,V,freeze
准备,18,zhǔn bèi,N,preparation/prepare; get ready
凉快,24,liáng kuai,A,cool (temperature)
减肥,19,jiǎn féi,VO,reduce; be on a diet
几,8,jǐ,QPr,"how many, how much"
出,9,chū,V,go out; come out
出发,20,chū fā,V,set out; start off
出差,21,chū chāi,V,go on a business trip
出生,9,chū shēng,V,be born
出租,20,chū zū,V,hire; rent
出租车,20,chū zū chē,N,taxi; cab
刀,25,dāo,N,knife
分(钱),10,fēn,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
分钱,10,fēn,M,"cent; Chinese monetary unit, worth one hundredth of one 块(kuài)"
分,11,fēn,M,minute
刚,15,gāng,Adv,just; only a short while ago
刚才,14,gāng cái,Adv,just now
别,18,bié,Adv,don't
别的,19,bié de,Pr,other
到,11,dào,V,arrive
刻,11,kè,M,quarter (of an hour)
前,21,qián,N,front; ahead; forward
前年,24,qián nián,N,the year before last; two years ago
前边,21,qián bian,N,front; ahead
前门,18,qián mén,PN,Qianmen (place in Beijing)
剧,22,jù,N,opera; dramatic work; play
剧团,22,jù tuán,N,opera troupe; theatrical group
力波,1,lì bō,PN,(name of a Canadian student)
办,13,bàn,V,do
办公,16,bàn gōng,VO,handle official business; work (in an office)
办公室,16,bàn gōng shì,N,office
加,23,jiā,V,increase; add
加元,15,jiā yuán,N,Canadian dollar
加拿大,4,jiā ná dà,PN,Canada
加油,23,jiā yóu,VO,make an extra effort; cheer someone on
动,23,dòng,V,move
助教,8,zhù jiào,N,teaching assistant
努力,26,nǔ lì,A,make great effort; endeavor; exert oneself
包,18,bāo,V,wrap
包括,13,bāo kuò,V,include
包裹,18,bāo guǒ,N,parcel; package
化,26,huà,V,change; turn
化妆,20,huà zhuāng,VO,put on makeup
化学,7,huà xué,N,chemistry
化验,12,huà yàn,V,have a medical test
北,21,běi,N,north
北京,9,běi jīng,PN,Beijing
北方,23,běi fāng,N,north
北边,21,běi bian,N,north side
匹,19,pǐ,M,(measure word for horses)
区,21,qū,N,district; section; area
医生,3,yī shēng,N,doctor; physician
医药费,25,yī yào fèi,N,medical expenses
医院,12,yī yuàn,N,hospital
十,,shí,Num,ten
千,,qiān,Num,thousand
千,15,qiān,Num,thousand
半,11,bàn,Num,half
单,18,dān,N,"sheet, paper"
卖,10,mài,V,sell
南,26,nán,N,south
南方,14,nán fāng,N,south
南边,21,nán bian,N,south side
博物馆,26,bó wù guǎn,N,museum
卧,21,wò,V,lie on one's back
卧室,13,wò shì,N,bedroom
卫生,21,wèi shēng,N,hygiene; health
卫生间,21,wèi shēng jiān,N,washroom; bathroom
危险,23,wēi xiǎn,A,dangerous
历史,7,lì shǐ,N,history
厕所,13,cè suǒ,N,toilet
厨房,13,chú fáng,N,kitchen
去,6,qù,V,to go
去年,21,qù nián,N,last year
